Naive: 3.811567 s
Searching through approximately 10^{6.02} configurations.../home/jirka/.local/lib/python3.11/site-packages/opentuner/search/driver.py:183: SAWarning: Object of type <DesiredResult> not in session, add operation along 'TuningRun.desired_results' will not proceed
  self.session.flush()  # populate configuration_id
Success: time=0.912999 s on  {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 36}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 19, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 23, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 59}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 61}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 40, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Success: time=1.452138 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 2}
Success: time=1.490047 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 52, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 20}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 11, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Success: time=1.844857 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 10, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Success: time=2.204264 s on  {'I_BLOCK_SIZE': 2, 'J_BLOCK_SIZE': 14, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Success: time=0.278249 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': True, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 23, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Success: time=0.259017 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': True, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Success: time=0.878776 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 42}
[    48s]    INFO opentuner.search.plugin.DisplayPlugin: tests=92, best #92, cost time=0.2349, found by UniformGreedyMutation
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 49}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 51, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Success: time=1.472444 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 7, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 2}
Success: time=0.881511 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 42}
Success: time=0.386341 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': True, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 7}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 37, 'J_BLOCK_SIZE': 19, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 27, 'TRANSPOSE_A': False}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 33, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 2}
Success: time=0.2119 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 3}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 29, 'J_BLOCK_SIZE': 63, 'TRANSPOSE_A': True, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 5}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 25, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 3}
Success: time=1.463945 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 4}
Success: time=0.218617 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 10}
Success: time=0.239231 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': True, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 3}
Success: time=1.983944 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 8}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 26, 'J_BLOCK_SIZE': 64, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 3}
